Name,MetadataID,ResourceIdentifier,Summary,OrganisationName,Information_owner_organization,ContactMailAddress,date
SBK Baskartan - Miljöanläggningar,0cfdd37e-ad8c-4994-984e-b46d0a77a3fa,92cd0b17-a2d7-4d86-bbae-357ac8f909b8,"Miljöanläggningar bestod av följande undertyper (subtyper) vid informationsklassningen 2020 (för aktuell lista se Allmän produktspecifikation Baskartan) :Miljöanläggningar10, Kompostfack, modifierbar, aktiv20, Återvinningsstation, modifierbar, aktiv30, Återvinningscentral, modifierbar, aktiv40, Bilskrotsanläggning, modifierbar, aktiv",Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-05-31
Digitala stadsmuseet,f778a958-45cb-47c8-89ff-acd1d9d639d3,---,Dokument som beskriver hur man söker OPEN DATA på Digitala Stadsmuseet med http-anrop,Stadsmuseet - Stockholms stad,---,sten-ake.sandh@stockholm.se,2016-10-07
Ekdatabasen - Ekar (2006),043ad385-db15-40bd-b8d8-ca7d7ad57a04,7186ae03-d1a4-46f4-bcfc-6cdcd63bdd8c,Kartering utförd 2006 av värdefulla ekmiljöer i Stockholms stad.,Miljöförvaltningen,Stockholms stad - Miljö- och hälsoskyddsnämnd,miljodata@stockholm.se,2023-04-17
SBK Stompunkter (internt SBK),e29e30c2-ad2a-4d8e-a74b-d2e6ecd70274,cbc7b628-e22a-46d9-b85d-396b33da6f2b,"Stompunktskartan visar Stockholms stompunkter i plan och höjd mot bakgrund av Stockholmskarta Grå Nedtonad. Totalt finns ca 25 000 stompunkter i plan och 5 000 i höjd. Stompunkterna består av anslutningspunkter och brukspunkter och dessa visas med olika symboler i kartan. För planpunkterna finns även riktningsstreck som visar vilka punkter som har mätts och utjämnats tillsammans. Stompunktsdatabasen innehåller även en typ av punkter som kallas Naturliga stöd. Dessa ska endast användas som stöd vid blocktriangulering av flygbilder och liknande tillämpningar och är inte jämställda med övriga stompunkter. Dessa syns bara i dpMap, inte i externa kartprodukter, för att inte riskera att kunder använder dem som stompunkter.Stompunktskartan används dels internt av Stockholms stads förvaltningar och dels av externa kunder, såsom byggbolag, projektörer och mätkonsulter. Kartan finns tillgänglig på internet där användarna även får åtkomst till koordinatinformation och punktskisser. Som intern användare eller avtalskund sker detta via inloggning och som extern kund mot kortbetalning.Stompunkterna är mätta enligt HMK:s (Handbok i Mät- och Kartfrågor, utgiven av Lantmäteriet) standard. I plan har satsmätning med totalstation använts och i höjd finavvägning för anslutningspunkter och vanlig avvägning för brukspunkter. Ett mindre antal kombinerade punkter finns också. Dessa har först mätts som brukspunkter i plan och därefter avvägts så att de också har samma status som brukspunkter i höjd.Plankoordinaterna på stompunkter i höjd är ungefärliga. Ofta har dessa punkter inte mätts in i plan utan endast placerats ut på kartan, varför stora fel kan förekomma. En kvalitetshöjande insats pågår under 2016 och 2017 för att säkerställa att plankoordinater på stompunkter i höjd inte är mer fel än ca en halvmeter så att det ska vara möjligt att hitta dessa i fält även utan en punktskiss.Uppdatering av innehållet i de Allmänna produktspecifikationerna genomförs i anslutning till uppgraderingen av Stockholms stads kartklient dpSpatial (Digpro AB), dokumentens versionsnummer följer gällande dpSpatialversion.",Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-05-31
Solinstrålning - Byggnader,eadf6208-37d6-4e01-9097-456517ca8bed,684a7d23-8c0a-472b-9372-3cff9d41b092,"Vektorfil över varje enskild takpolygon klassificerad utifrån mängden infallande solenergi inom tre kategorier: <950 kWh/år, 950 ? 1000 kWh/år och >1000 kWh/år. Data baseras på höjddata utifrån kommunal laserskanning från 2012 och meterologiska data från SMHI 2000-2009)",Miljöförvaltningen,Stockholms stad - Miljö- och hälsoskyddsnämnd,miljodata@stockholm.se,2020-05-18
SBK Ortofoto (2021) - bara internt,3729dd40-4f63-4251-b47e-646d2c70a9b5,437a7221-25fb-4ed4-ac8e-f7edbde8092b,Ett ortofoto över Stockholm består av hundratals flygbilder. Flygbilderna bearbetas så att perspektiv- och måttfel minimeras för att få en skalriktig bild. De skalriktiga bilderna sätts därefter samman till en mosaik.  Användningsområden:  Ortofoton kan användas för exempelvis planering och projektering eller visualiseringar. De olika årgångarna kan användas för jämförelsestudier. De är också lämpliga att använda för tryck och kan sampresenteras med andra kartprodukter. Flyghöjd: ca 1900 meter över marken. Upplösning: 8 cm på marken per pixel,Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-06-01
Hundrastgård,LvFeature17314453,1ae11aea-e429-4293-8f0e-647d15b53d5c,Ytgeometri som redovisar platserna för stadens hundrastgårdar.,Stockholms stad - Trafikkontoret,Stockholms stad - Trafiknämnd,funktionsbrevlada.tk.open.data@stockholm.se,2023-04-05
SBK Ortofoto (1995),add986f7-9934-48ff-b3fc-b3d5b074aec8,8f67e125-bef0-46ac-9a81-60fae75c57da,Ett ortofoto över Stockholm består av hundratals flygbilder. Flygbilderna bearbetas så att perspektiv- och måttfel minimeras för att få en skalriktig bild. De skalriktiga bilderna sätts därefter samman till en mosaik.  Användningsområden:  Ortofoton kan användas för exempelvis planering och projektering eller visualiseringar.. De olika årgångarna kan användas för jämförelsestudier. De är också lämpliga att använda för tryck och kan sampresenteras med andra kartprodukter.Upplösning: 16 cm/pixel i ortofoto,Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-06-01
SBK Infraröd ortofoto (2015) (internt SBK),6d8997d5-ac8d-4c79-8c03-ac40fade3dbb,13dfc807-c97c-477e-b988-9737ae5debb5,"Ett ortofoto över Stockholm består av hundratals flygbilder. Flygbilderna bearbetas så att perspektiv- och måttfel minimeras för att få en skalriktig bild. De skalriktiga bilderna sätts därefter samman till en mosaik.  Flyghöjd: 1300 m, upplösning: troligtvis 8 cm/pixel i ortofoto. Nära infraröda bilder används oftast för att göra analyser på växtlighet. Bilderna gör det till exempel möjligt att se om ett område är fuktigt, vilken vegetation som finns, se vissa trädarter, om våtmarker är utdikade och om det finns stigar eller småvägar i ett skogsparti.Nära infrarött (NIR) är en del av det infraröda området och utgör våglängderna strax över det synliga ljuset.",Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-06-01
Kopia av 3D-byggnadsblock (LOD1  #) Test MICO,35bc8e90-ae56-4d65-a573-15a948f7b641,b28ceece-f29e-4f63-a15a-65db1bb2a710,"3D-byggnadsblock är modeller i tre dimensioner av byggnader upp till takfot. Som bas för 3D-byggnadsblock har Stadskartans byggnadsytor använts. Mindre byggnader som förråd och friggebodar finns inte med. 3D-byggnadsblock täcker hela Stockholms stad och kan bland annat användas för planering och visualisering av större områden.## Uppdatering Byggnadsblocken uppdateras löpande. 3D-byggnadsblocken tillhandahålls i två skilda dataset, ett för vanliga byggnader (Byggnad_3D) och ett för landmärken (ffa kyrkor och stadshuset, Byggnad_area). ## LeveransDe vanliga byggnaderna levereras som solider medan landmärkena levereras som angränsande separata ytor (multi-surface).## AttributBYGG_A:                           byggnadens bottenyta i kvadratmeterBYGG_H:                           byggnadens höjd i meterKATEGORI:                       enbostadshus, flerbostadshus, vårdbyggnad, idrottsbyggnad etc.KOM_ID:                          kommunalt byggnads-IDKOMPONENT:                    gyS3DMARK_Z:                       markhöjd i meter (högsta markhöjd, i RH2000 höjdsystem)TAKFOT_Z:                        takfotshöjd i meter (i RH2000 höjdsystem)Z:                                     markhöjd i meter, med 3 decimaler (i RH2000 höjdsystem)3D-Byggnadsblock är öppna data enligt licensen Creative Commons erkännande (CC BY). ## KällhänvisningExempel på källhänvisning:3D-Byggnadsblock (http://dataportalen.stockholm.se/dataportalen/GetMetaDataById?id=e57466f1-85ac-4a1a-89eb-f82df609c59a), Stockholms stad (CC BY 2.5 SE https://creativecommons.org/licenses/by/2.5/se/)",Stockholms stad - Stadsbyggnadskontoret,Stockholms stad - Stadsbyggnadskontoret,geodataservice@stockholm.se,2023-01-13
"Temperaturkartering 2014, kl 14",3c146ba2-cb15-41f0-a8df-e91baa22a4d6,e8d6b3c1-d364-47f6-8707-4d8fb8f2ae51,Resultat från modellberäkningar avseende en solig och varm sommardag (28 juli 1994). Visar beräknad strålningstemperatur kl 14.00 utifrån scenario nuläge med vegetation.,Miljöförvaltningen,Stockholms stad - Miljö- och hälsoskyddsnämnd,miljodata@stockholm.se,2020-05-18
Test 4.,6cd0a690-bc9b-4d7d-849a-d8244ca5f4e7,d136f14e-4a2f-4934-a186-025230b58a1d,--- Ange beskrivining,TestOrg1,TestOrg1,michael.ostling@metagis.e,2023-06-09
SBK FB Webb (webbapplikation för fastighets- och befolkningsdata) (internt SBK),c1134ea0-75e1-49d9-912b-7252ad8bd396,7703ccc6-37e7-472c-9362-0dadc79712e4,"FB Webb är en webbapplikation för att få tillgång till Lantmäteriets fastigheter, adresser, byggnader, lägenheter och planer (detaljplaner, stadsplaner, generalplaner, byggnadsplaner mm) samt Skatteverkets register över folkbokförda personer.",Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-05-31
SBK Stadskarta - Stadsdelsnämnsområden,719b8823-a3f2-41a1-9b32-0259e60afda7,187d2e1e-099e-48ed-b856-a142a7864de3,"Stadskarta - Stadsdelsnämndsområden bestod av följande undertyper (subtyper) vid informationsklassningen 2020 (för aktuell lista se Allmän produktspecifikation Stadskartan) :450170, StadsdelsnämndsområdeUndertyper10, Stadsdelsnämndsområde, modifierbar, aktiv",Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-05-31
SBK Snedbilder (2017) (internt SBK),ef7c445d-caad-4be9-beaf-b7e5518e27dc,0f8e4369-3c89-48f5-bbe4-8f4b9cf3a21a,Användes för  att ta dexturera den objektbaserade 3D stadsmodellen (3D byggnader med takkonstruktioner),Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-05-31
Resultat Bällstaåmodellen - Skyfall - Öppna data,21b976a0-831f-4bcb-a53f-6aab905bfba1,fa290802-085d-4cf2-8ecb-cd433959c627,"Skyfall är ett regn som är så stort att det inte kan hanteras av dagvattensystemet och som innebär risker för liv, störningar på samhällsviktig verksamhet, allvarliga personella och materiella skador och skador på miljön. Bällstaån är ett vattendrag med kraftig påverkan från den bebyggda miljön. För att beskriva detta området har en specialmodelltagits fram, Bällståmodellen. Denna har använts för att simulera 100-årsregn med och utan klimatfaktor samt för nuläget och framtida bebyggelse. Framtaget av Stockholm Vatten och Avfall och distribueras av Miljöförvaltningen i Stockholms stad.",Stockholm Vatten och Avfall,Stockholm Vatten och Avfall,gis@svoa.se,2019-08-27
Solkartan,a022acb3-1977-42a9-b0e9-1c2b26440822,943b1ee7-1e91-4c02-a21f-05a768ffd312,"Raster över potentiell solinstålning mätt i kWh/år/m2 med en upplösning om 0,5 m * 0,5 m. Data baseras på höjddata utifrån kommunal laserskanning från 2012 och meterologiska data från SMHI 2000-2009)",Miljöförvaltningen,Stockholms stad - Miljö- och hälsoskyddsnämnd,miljodata@stockholm.se,2020-05-18
SBK 3D-Byggnader (LOD2) (internt SBK),f2476861-b549-48f8-a362-d98db11d595e,4edf8550-ade2-440f-982e-675ea03aba3e,"Trådmodeller av byggnader med detaljerade takkonstruktioner. 3D-byggnader (LOD2) används för planering och visualiseringar och finns för innerstaden och för utvalda områden i ytterstadenHöjderna på mark, byggnader och vegetation bestäms med hjälp av fotogrammetri och laserskanning.",Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-05-31
Verksamhetsområde - Öppna data,79acc8eb-2649-4650-bd73-a9d9c36baa12,---,Stockholm Vatten och Avfalls verksamhetsområde för vatten- och spillvatten respektive datvatten. Uppdaterat för 2018. Ingen förändring för 2019.,Stockholm Vatten och Avfall,Stockholm Vatten och Avfall,gis@svoa.se,2020-11-17
Grundskolor och gymnasieskolor,25a443dc-eddf-4e9c-ac7b-7c66b3e18cc7,0068a666-bedd-434f-ac49-5d71c1b1ee9c,"Stockholms samtliga grund- och gymnasieskolor, både kommunala, fristående och statliga  skolor.  Innehåller - X_North, Y_East: Koordinater till skolans huvudingång i koordinatsystemet SWEREF99 1800- Elevantal19: Totala elevantalet läsår 2019/2020- SDO: Stadsdelsförvaltningsområdena- Regi: Kommunala eller fristående - SKOLENHETS: Skolenhetskod från SCB- Arskurs: F=Förskoleklass, 1-9=årskurs, GY=Gymnasium- Skolenhe_1: Skolenhetens namn från SCB- SKOLA: Skolans namn som skolan själv använder- Särskola: 1=skolan har grund- eller gymnasiesärskoleelever- NOTE: kommentar kring förändringen från läsåret 2018/2019- Adress, POSTNT, POSTORT: Skolans postadress, förmodligen inskriven från hand",Utbildningsförvaltningen - Avdelning för ekonomi och styrning - Lokalenheten,Stockholms stad - Utbildningsnämnd,johanna.roto@edu.stockholm.se,2019-11-11
Utloppspunkter dagvatten - Öppna Data,a84f276c-2087-4941-a239-8b92a6cd565a,---,Stockholm Vatten och Avfalls utloppspunkter från dagvattennätet. Punktobjekt för de platser där det finns dagvattenutlopp från Stockholm Vatten och Avfalls dagvattennät.,Stockholm Vatten och Avfall,Stockholm Vatten och Avfall,gis@svoa.se,2022-10-24
Kommunägda fastigheter i Stockholm stad,eafeb1e1-4cca-4ddc-b7a0-6fda6287b27a,---,"Karttjänst som visar vilken mark Stockholm stad äger, om marken förvaltas av stadens förvaltningar eller bolag samt vilken mark som är upplåten med tomträtt.",---,---,---,2017-07-03
SBK Baskarta (1:400 - 1:2000),269cb7f1-fdb3-43de-aed0-db3ed047162b,01ae9954-b548-4288-a2bc-395a68ba8bb2,"Baskartan är ett storskaligt och tredimensionellt digitalt kartverk med hög noggrannhet som redovisar de grundläggande geografiska och administrativa förhållandena i Stockholms stad. Kartans information lagras i plan med x, y koordinater och i höjd med z-värden. Kartan redovisar bland annat byggnader, vägar, träd, samt höjdinformation. Kartan används främst i skalområdet från 1:400 till 1:2000. I många kommuner kallas Baskartan också för Primärkartan.Baskartan används i många olika sammanhang som bakgrundskarta, där verksamhetsspecifik information läggs till för att skapa en för syftet anpassad karta. Det kan röra sig om grundkartor, nybyggnadskartor, bygglovskartor, stompunktskartor, förrättningskartor, inventeringskartor etc. Insamlingen av information till Baskartan har pågått under många år och med olika metoder. Det innebär att kvaliteten varierar, men det sker en succesiv kvalitetsförbättring över tid. All information kvalitetsmärks med ursprung, tidpunkt och insamlingsmetod vid lagringen i databasen. Det finns flera olika kartprodukter som kan exporteras ur Baskartan och levereras till kunder. Flera av kartprodukterna innehåller fastighetsinformation. Fastighetsinformationen tillhör egentligen Registerkartan. Det gäller också för stompunkter som också är nära relaterade till Baskartan men som utgör ett eget dataset. Stadsbyggnadskontoret använder olika klientprogramvaror (ex dpMap, MicroStation, StockholmExport) för att extrahera, exportera och leverera information från Baskartan till kunder.Kartinformationen publiceras också via ett antal karttjänster, s.k. WMS tjänster..",Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-05-31
SBK Flygbilder (2000 - 2019) (internt SBK),47769178-8b1a-4829-b7a2-85bbdcb25b01,7cebe472-c88e-4e35-92b6-f34d47534c3a,"Flygbilder för framställning av stereobilder för fotogrametriskt mätning. Årgångar: 2000, 2002 (hela Stockholms stad)2003 (bara Hammarby sjöstad)2004, 2006, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019 (hela Stockholms stad)",Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-05-31
SBK Baskartan - Parkanläggningar,54fae749-6488-4b9c-a22b-01a2bb71338e,41b1b58b-a37f-4f1f-bae9-fbf20035e41b,"Parkanläggningar bestod av följande undertyper (subtyper) vid informationsklassningen 2020 (för aktuell lista se Allmän produktspecifikation Baskartan) :Idrottsanläggning10, Motionsspår, modifierbar, aktiv20, Badmintonhall, modifierbar, aktiv30, Bassängbad, modifierbar, aktiv40, Bollplan, modifierbar, aktiv50, Bowlinghall, modifierbar, aktiv60, Campingplats, modifierbar, aktiv70, Golfbana, modifierbar, aktiv80, Idrottshall, modifierbar, aktiv90, Idrotts- o simhall, modifierbar, aktiv100, Ishall, modifierbar, aktiv110, Konstisbana, modifierbar, aktiv120, Korthålsgolfbana, modifierbar, aktiv130, Minigolfbana, modifierbar, aktiv140, Motionscentral, modifierbar, aktiv150, Rackethall, modifierbar, aktiv160, Ridhus, modifierbar, aktiv170, Simhall, modifierbar, aktiv180, Skidbacke, modifierbar, aktiv190, Skjutbana, modifierbar, aktiv200, Sol- o duschbad, modifierbar, aktiv210, Sportfält, modifierbar, aktiv220, Squashhall, modifierbar, aktiv230, Strandbad, modifierbar, aktiv240, Tennisbana, modifierbar, aktiv250, Tennishall, modifierbar, aktiv260, Varmbad, modifierbar, aktiv270, Idrottsplats, modifierbar, aktiv280, Fotbollsmål, modifierbar, aktiv290, Skidlift, modifierbar, aktiv300, Trav- och galoppbana, modifierbar, aktiv310, Motorbana, modifierbar, aktivParkanläggning10, Parkbänk, modifierbar, aktiv20, Lekutrustning, modifierbar, aktiv30, Staty, modifierbar, aktiv40, Flaggstång, modifierbar, aktiv",Stadsbyggnadskontoret - Stadsmätningsavdelningen - Geodatadistributionsenheten,Stockholms stad - Stadsbyggnadsnämnd,geodataservice@stockholm.se,2023-05-31
